X,biking,smoking,heart.disease
1,30.80124571,10.89660802,11.33519449
2,65.12921517,2.219563176,6.289381575
3,1.959664531,17.58833051,17.37823918
4,44.80019562,2.802558875,8.907468788
5,69.42845368,15.9745046,5.58975986
6,54.40362555,29.33317552,7.32705436
7,49.05616196,9.060845771,6.66575692
8,4.784604202,12.8350208,16.05843245
9,65.7307883,11.99129728,4.165238079
10,35.25744894,23.27768343,11.90222371
11,51.82556749,14.43511838,7.739243341
12,52.93619716,25.07486857,7.559074595
13,48.76747849,11.02327097,8.098977749
14,26.16680079,6.645749549,11.93224883
15,10.55307492,5.990506309,17.38369592
16,47.16371641,14.09783716,8.805454541
17,61.68525625,16.84081673,3.449748324
18,33.94439412,5.758595187,11.64092703
19,39.69762437,12.66286943,9.32131158
20,63.12469829,22.91747999,4.061948864
21,28.51012944,14.85510636,11.80355831
22,18.52597311,26.4049774,12.98337431
23,24.47946969,26.92496068,12.09514635
24,18.35864634,23.4319568,13.41765425
25,30.38818374,16.98608636,9.960919306
26,52.98521975,27.68902698,7.986329791
27,60.50944819,3.981962099,5.803841984
28,45.24711035,2.137475294,7.551063393
29,48.59704435,10.38842643,9.276043391
30,25.13977081,5.836372759,13.11903585
31,44.17309485,3.967605745,8.607965331
32,61.14694641,27.78340597,6.41866863
33,27.26789821,16.85329322,13.14699495
34,49.52709985,15.24973082,8.658635501
35,20.19720598,10.33148947,14.36527654
36,18.81122796,16.75344203,14.50650217
37,67.35076463,23.87372679,4.226451051
38,29.90447536,24.58454991,11.43795629
39,14.01175979,21.01214184,14.52768763
40,45.81548815,4.716126882,7.88132933
41,31.47725131,22.16582548,11.22286199
42,17.10820358,1.352878261,13.02626032
43,9.665082455,3.504296324,17.94253805
44,23.93300498,4.18586919,14.14080071
45,22.63630115,13.67898283,12.06790386
46,27.24747669,13.37977678,11.87004256
47,20.78960155,19.45542859,13.09203498
48,46.61371512,9.249332569,9.197074437
49,28.62263219,12.48273387,11.91576486
50,21.12749825,18.94134829,13.74473361
51,68.57434853,1.804703605,4.016200453
52,41.68436666,13.06720504,9.355672141
53,69.87959264,17.3516599,5.153475389
54,9.817276993,23.81899489,15.51750917
55,4.379280217,20.66297135,18.34245591
56,28.61037798,1.147962056,10.45282094
57,21.46001555,22.97600182,14.00982465
58,27.6016559,4.388380354,12.32626455
59,57.23050393,12.80499995,6.519248237
60,26.39728177,7.763930452,12.82184068
61,39.01047954,0.767680134,9.428590071
62,11.52748668,6.739621963,15.06957002
63,17.68428703,8.278009107,13.15838307
64,19.93525278,6.0764383,12.65699995
65,42.31004013,8.412396649,9.577499652
66,1.119154122,19.55035826,17.92328619
67,23.27682146,14.30663488,13.11648907
68,14.96581609,12.86915316,15.64047348
69,30.66334995,16.66320382,13.64291171
70,22.92518278,24.59878725,12.64246494
71,59.77030799,8.700769216,3.488462804
72,70.45606084,12.74071089,4.675836812
73,21.7503852,18.85751066,12.65819754
74,49.36068632,23.20948019,7.182178738
75,4.487241853,23.41899999,17.83006152
76,14.69326919,17.87439357,14.4876971
77,40.61162777,25.99371062,8.3914072
78,8.764197493,3.899040361,16.13425176
79,56.72541209,16.18097739,6.26497909
80,60.55114896,18.06520194,5.647930428
81,64.38489258,10.52953095,5.264148288
82,20.26279772,11.17878297,13.29291694
83,30.52008641,12.43347742,12.26572734
84,30.46154246,29.86081063,11.41252033
85,3.705893887,21.4941886,17.29183849
86,15.08246882,16.61520013,15.79181947
87,30.99784194,29.01642636,11.96141116
88,14.62541107,6.798346195,14.46004907
89,28.10306125,14.73135048,13.25138812
90,34.68024108,8.638104997,11.78656786
91,6.94746345,26.10565826,16.86305699
92,26.86066205,16.71941321,12.58867392
93,41.01932285,12.99918731,8.903046744
94,31.93273825,28.18287304,12.70074426
95,69.8771469,26.33119673,3.185100465
96,63.02985367,22.24713195,7.335989127
97,21.34999932,12.8558535,14.97972576
98,3.81133785,17.72378818,16.70336227
99,67.51410645,26.95539991,3.229420506
100,12.58089344,16.98978254,14.48263755
101,61.23219723,4.613550452,5.76345324
102,64.33230408,29.4237378,4.642646379
103,31.87243934,16.24189783,11.00455473
104,11.93656171,3.486567156,14.369712
105,52.36026811,19.84107694,7.227942894
106,22.51663773,7.695172895,12.42993296
107,49.76482164,3.572944095,6.121782075
108,22.7926359,9.816828604,12.77965967
109,49.74874772,20.49183074,8.711920938
110,68.20412211,2.192944522,3.543112326
111,15.18510123,14.52036208,15.28251067
112,58.04690125,15.71358501,4.522879253
113,69.49968843,23.16787482,3.804950069
114,2.616134505,4.31908037,17.69643482
115,2.1363434,25.84013027,17.57370739
116,25.77157053,28.54034726,12.6724565
117,11.61564578,6.345528909,14.74451892
118,17.19745622,20.73345586,13.42418212
119,27.68166193,18.63700853,11.16235232
120,9.648095836,8.370038317,15.89461072
121,65.62195609,14.10662347,3.685093928
122,46.55622823,26.89374982,7.937997516
123,48.30047218,12.01178695,7.825183796
124,15.14129181,7.893749731,16.52713081
125,71.57935106,18.93788549,2.794501303
126,4.681249725,10.98828186,17.00124975
127,22.47672275,25.97232328,13.30074535
128,49.29620052,5.088788081,6.921169842
129,17.64813542,27.19256359,14.11284815
130,9.413778075,8.608537791,17.26816764
131,64.91566811,10.88939059,5.224694532
132,3.950367197,6.359579622,16.95261481
133,67.34245706,16.62261931,3.867519966
134,71.2389548,25.19415179,1.460976877
135,70.32387831,26.23347428,4.827753042
136,28.42490128,20.20844855,10.57786209
137,73.71373241,14.10165224,3.761443389
138,56.05803164,8.206115872,8.445849469
139,21.588199,2.573494933,11.95579642
140,16.27616083,3.463449097,15.15910071
141,26.98868993,15.88332597,12.06225435
142,11.32681438,9.230654944,13.8705871
143,55.58058409,7.671307447,5.117138054
144,50.60380235,28.91847124,6.021146779
145,60.40173934,24.83214097,5.141007175
146,71.48675064,21.63736841,2.003132362
147,37.97850712,13.9453443,10.82429601
148,48.6921149,23.56408809,10.10340886
149,40.01640021,7.811634912,8.443604242
150,32.14855255,0.969084336,12.08486204
151,12.31828291,26.89080585,16.01437211
152,31.6596669,21.39950872,11.7266629
153,55.84189302,2.24871617,5.571402491
154,28.82695275,11.40986663,11.8390011
155,55.47228696,5.267437815,6.372972331
156,54.35403357,16.34152019,7.439001449
157,70.33169887,15.05886371,3.322419999
158,54.06260915,20.38881362,7.911007904
159,59.57564529,24.79263808,5.461808165
160,2.818204165,23.24614047,18.18950702
161,30.46033498,2.525654416,10.5840703
162,22.34344951,23.20464246,11.98916396
163,14.69688602,9.831682231,18.01278993
164,70.90281539,29.9140032,3.164291869
165,35.33511321,9.147502025,10.96090655
166,72.17376645,15.27366284,3.964672774
167,44.69821671,10.00258894,8.314704428
168,70.36136631,20.33991502,4.205814013
169,7.619083897,26.66152289,16.54990492
170,29.67363351,2.396795642,11.57449906
171,28.48568308,12.6628036,12.09169353
172,67.42329135,28.65743109,4.239855438
173,10.1450692,11.31751965,17.80646862
174,59.98990412,25.45583913,5.012573994
175,38.15501455,20.1042221,9.005240335
176,15.46600982,11.57114837,14.65640584
177,73.76771348,16.15133159,3.321228995
178,31.17962919,5.568441334,11.92655931
179,5.201611005,4.359903173,16.20389392
180,50.24961427,4.129059121,6.629875665
181,60.94014072,21.86449589,6.827903159
182,20.06867359,11.92941728,13.3525767
183,41.21121472,4.151440224,8.627234286
184,72.39485563,7.5198372,3.047804675
185,10.61096908,19.30151546,15.38808016
186,45.57983566,20.61685146,9.73287501
187,29.65850581,12.151899,11.87762878
188,40.0568539,16.50649441,10.47663417
189,5.510299936,17.88421927,16.10150727
190,32.05652946,12.47948092,11.52989029
191,46.8428697,27.32164857,8.046798732
192,42.42500696,10.95473935,9.345664643
193,31.21237409,7.797382842,10.58815296
194,13.17662789,9.987466907,13.76363185
195,33.77973904,0.965390337,12.96956734
196,70.69008341,22.71077071,4.224213217
197,60.28495096,15.10814023,4.443894902
198,16.00360515,19.8941489,13.9004163
199,39.67721903,10.27216724,8.612685606
200,12.88518529,25.21018246,17.33126996
201,35.02345049,22.66403729,12.03714398
202,10.34375322,27.64684926,15.37331368
203,20.64089251,15.38413837,14.13149236
204,63.23803721,20.50474122,4.692866844
205,23.98456492,7.612116918,12.44632623
206,44.01489735,6.579662095,8.145931101
207,67.12792378,5.820363499,3.738113108
208,36.53804978,2.052883129,12.07408176
209,7.8314809,26.82697087,16.08462403
210,40.39540086,7.027460195,9.774420926
211,16.24991446,28.36173691,14.70622946
212,47.58466113,29.46835241,9.456269847
213,15.48136244,18.81520122,14.09949691
214,70.08519567,10.38264555,2.751430392
215,1.330484949,28.79374403,19.10869738
216,61.5426923,12.83748542,5.003586747
217,23.09777128,0.907361074,12.37606777
218,65.06991694,1.487679705,3.506206419
219,71.01454157,15.28190552,2.27418905
220,64.06598248,28.47244638,4.368389409
221,61.1527601,2.190053562,6.140371281
222,22.67236751,28.73539954,14.29367977
223,49.72874,3.494542443,8.50449622
224,35.48079418,15.85015618,10.27001658
225,59.4618852,18.80753409,5.918788594
226,31.69759256,23.19066373,10.68231286
227,62.77210775,15.23981755,4.482755186
228,58.66854235,19.58574071,6.901643716
229,25.25414043,7.168951892,11.65420806
230,22.7227009,8.288250658,15.12910422
231,1.616922212,1.458436809,17.28565119
232,10.35364789,16.01317181,15.85102753
233,44.72158632,7.273078832,8.055304458
234,29.22409838,27.35702732,11.30499332
235,66.11159274,18.62939411,3.218065754
236,46.72848815,8.499546055,8.21133262
237,39.17242664,17.55637644,10.31765226
238,9.93761745,22.34260305,16.04362471
239,61.3938452,22.9195492,4.692848933
240,21.60822843,9.348835721,12.60707975
241,6.28361039,20.17532925,15.94463445
242,61.43613622,24.46591379,6.962025948
243,1.25784112,15.13095188,16.31016021
244,4.699862547,9.859936585,16.58310577
245,54.93822312,13.04621646,8.662061598
246,7.749030351,8.387019203,16.05409317
247,49.56342441,16.25902128,6.469981496
248,29.73140329,23.33390163,11.11360817
249,45.71626654,23.83026044,9.08125131
250,47.53732053,20.07429526,7.85761661
251,35.72601558,8.915768152,10.02297393
252,35.91225141,18.51483653,10.20385351
253,26.91998989,11.53098533,12.42862666
254,34.162508,24.4145881,12.49465343
255,51.90053819,27.32402901,7.275937734
256,73.14314626,11.27527572,4.215899075
257,52.55088586,13.87967973,7.865772741
